AICTE ID,NAME,PROGRAMME,UNIVERSITY,LEVEL OF COURSE,COURSE,INTAKE,ADDRESS,ZONE,CITY,DISTRICT,STATE,INSTITUTE TYPE,,
1-36591792358,HINDU COLLEGE OF MANAGEMENT,MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA (HOSPITAL MANAGEMENT ),60,AMARAVATHI ROAD,COASTAL,RAJAHMUNDRY,GUNTUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36446247828,SIR C V RAMAN COLLEGE OF COMPUTER SCIENCES,MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA,60,"GREEN FIELDS, ONGOLE ROAD, PODILI, PRAKASAM (DT), ANDHRA PRADESH-523240.",COASTAL ANDHRA,PODILI,PRAKASAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36591793045,RAJIV GANDHI DEGREE COLLEGE,MANAGEMENT,"ANDHRA UNIVERSITY, VISAKHAPATNAM",POST GRADUATE,MBA,120,"D.NO 15-6-3, LUTHERGIRI",RAYALASEEMA,GOOTY,EAST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36591793045,RAJIV GANDHI DEGREE COLLEGE,MANAGEMENT,"ANDHRA UNIVERSITY, VISAKHAPATNAM",POST GRADUATE,MBA(RETAIL MANAGEMENT),30,"D.NO 15-6-3, LUTHERGIRI",RAYALASEEMA,GOOTY,EAST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36448521389,SRI VENKATESWARA INSTITUTE OF SCIENCE AND TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,60,"TADIGOTLA (VILLAGE), C.K.DINNE (MANDAL), KADAPA. A.P. 516003",RAYALASEEMA,KADAPA,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36592715256,SRI VIDYA INSTITUTE OF MANAGEMENT STUDIES,MANAGEMENT,"SRI VENKATESWARA UNIVERSITY, TIRUPATI",POST GRADUATE,MBA,180,"GOVINDAPALEM,PUTTUR-517583,CHITTOOR DIST ANDHRAPRADESH.",COASTAL,NELLORE,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36450515280,PALIVELA PG COLLEGE,MANAGEMENT,"ADIKAVI NANNAYA UNIVERSITY, RAJAHMUNDRY",POST GRADUATE,MBA,120,8-39-4 AMALAPURAM ROAD PALIVELA KOTHAPETA EAST GODAVARI DISTRICT,COASTAL ANDHRA,PALIVELA,EAST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36594798419,PYDAH COLLEGE(P.G. COURSES),MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,BUSINESS ADMINISTRATION,240,"GAMBHEERAM, GAMHEERAM VILLAGE, VISAKHAPATNAM-531163",RAYALASEEMA,MADANAPALLE,VISHAKHAPATNAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36451934742,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,60,K.KOTTURU (VILL) TEKKALI - 532 201 SRIKAKULAM (DIST) ANDHRA PRADESH,COASTAL ANDHRA,TEKKALI,SRIKAKULAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36594926194,VISWAM ENGINEERING COLLEGE,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,120,"ANGALLU, MADANAPALLE, CHITTOOR DIST. ANDHRAPRADESH.",COASTAL,GUNTUR,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36452464120,ANNAMACHARYA PG COLLEGE OF COMPUTER STUDIES,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,90,NEW BOYANAPALLI THALLAPAKA PANCHAYATH RAJAMPET MANDAL YSR DISTRICT,RAYALASEEMA,RAJAMPET,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36592715956,RAOS INSTITUTE OF MANAGEMENT STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,180,"CHEMUDUGUNTA (PO), VENKATACHALAM (M), NELLORE(DT) - 524320.",COASTAL,VISAKHAPATNAM,NELLORE,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36455497013,KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,60,"BEHIND KALLAM SPINNING MILLS LIMITED N.H.5,CHOWDAVARAM",COASTAL ANDHRA,CHOWDAVARAM,GUNTUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36593578818,INTEGRAL INSTITUTE OF ADVANCED MANAGEMENT (IIAM),MANAGEMENT,"ANDHRA UNIVERSITY, VISAKHAPATNAM",POST GRADUATE,MBA,180,"EDUCATIONAL COMPLEX, PLOT NO.10, MUVVALAVANIPALEM, VISAKHAPATNAM - 530 017",COASTAL,VISAKHAPATNAM,VISHAKHAPATNAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36455537825,MUTTAMSETTY VENKATA NARAYANA INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,240,"VEGAVARAM VILLAGE JANGAREDDYGUDEM MANDAL WEST GODAVARI DISTRICT ANDHRA PRADESH; NH-5, ELURU BYPASS ROAD, TANGILLAMUDI, ELURU. ANDHRA PRADESH",COASTAL ANDHRA,ELURU,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36951302354,PRABHATH INSTITUTE OF BUSINESS MANAGEMENT,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,120,PARNAPALLI(V) NANDYAL KURNOOL(DT) A.P,RAYALASEEMA,NANDYAL,KURNOOL,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36455582562,DCRM PG COLLEGE (MBA),MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA,120,GANGAVARAM ROAD INKOLLU - 523167 PRAKASAM (DIST.) ANDHRA PRADESH.,COASTAL ANDHRA,INKOLLU,PRAKASAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36951568781,SREE VYSHNAVI M.B.A.COLLEGE,MANAGEMENT,"SRI KRISHNADEVARAYA UNIVERSITY, ANANTAPUR",POST GRADUATE,MASTERS IN BUSINESS ADMINISTRATION,120,"D.NO.1/564 JANDA STREET, GOOTY VILLAGE & MANDAL, ANANTAPUR DISTRICT.",RAYALASEEMA,GOOTY,ANANTAPUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
